"year","fips_county","county_name","state_code","enroll_dec16","plan_selections"
2017,"16001","Ada County","ID",23775,25046
2017,"16003","Adams County","ID",302,318
2017,"16005","Bannock County","ID",3926,4136
2017,"16007","Bear Lake County","ID",398,419
2017,"16009","Benewah County","ID",322,339
2017,"16011","Bingham County","ID",2666,2809
2017,"16013","Blaine County","ID",2322,2446
2017,"16015","Boise County","ID",502,529
2017,"16017","Bonner County","ID",3417,3600
2017,"16019","Bonneville County","ID",7933,8357
2017,"16021","Boundary County","ID",707,745
2017,"16023","Butte County","ID",176,185
2017,"16025","Camas County","ID",62,65
2017,"16027","Canyon County","ID",9600,10113
2017,"16029","Caribou County","ID",387,408
2017,"16031","Cassia County","ID",1275,1343
2017,"16033","Clark County","ID",73,77
2017,"16035","Clearwater County","ID",262,276
2017,"16037","Custer County","ID",372,392
2017,"16039","Elmore County","ID",701,738
2017,"16041","Franklin County","ID",1048,1104
2017,"16043","Fremont County","ID",1309,1379
2017,"16045","Gem County","ID",984,1037
2017,"16047","Gooding County","ID",793,835
2017,"16049","Idaho County","ID",962,1013
2017,"16051","Jefferson County","ID",2622,2762
2017,"16053","Jerome County","ID",1169,1231
2017,"16055","Kootenai County","ID",7859,8279
2017,"16057","Latah County","ID",1457,1535
2017,"16059","Lemhi County","ID",609,642
2017,"16061","Lewis County","ID",269,283
2017,"16063","Lincoln County","ID",374,394
2017,"16065","Madison County","ID",3498,3685
2017,"16067","Minidoka County","ID",1114,1174
2017,"16069","Nez Perce County","ID",1268,1336
2017,"16071","Oneida County","ID",242,255
2017,"16073","Owyhee County","ID",556,586
2017,"16075","Payette County","ID",995,1048
2017,"16077","Power County","ID",383,403
2017,"16079","Shoshone County","ID",504,531
2017,"16081","Teton County","ID",1587,1672
2017,"16083","Twin Falls County","ID",4704,4955
2017,"16085","Valley County","ID",1052,1108
2017,"16087","Washington County","ID",467,492
